session_id,num_events,num_commands,session_duration,mean_inter_command_time,std_inter_command_time,command_error_rate,file_transfer_ratio,recon_exploit_ratio,login_error_rate,unique_commands_ratio,command_diversity
fcb8398fb210,41.0,19.0,17.504395,0.6726932222222223,0.09927836159746556,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fcc139986520,41.0,19.0,26.296738,1.0565247777777778,0.10734779693542336,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fcecf7f58b5e,78.0,23.0,13.555728,0.4894901363636364,0.42300053547340816,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fcfb8479131b,78.0,23.0,5.960632,0.19634904545454546,0.09307949385105864,0.08695651795841226,0.17391303591682453,0.399999920000016,0.0,0.5384615384615384,19.0
fd5b5bc809fb,80.0,23.0,20.107037,0.7374489545454544,0.7106756489713875,0.08695651795841226,0.2608695538752368,0.285714244897965,0.0,0.5384615384615384,19.0
fd85071eaa6f,41.0,19.0,4.795605,0.15150394444444443,0.04166922250078901,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fdc729c27ce6,16.0,7.0,56.896103,2.7117621666666665,6.628383898499705,0.4285713673469475,0.0,0.0,0.0,0.2857142857142857,6.0
fdc99965ab0b,41.0,19.0,29.23109,1.1670275555555556,0.24035525308940764,0.0,0.0,1.9999980000020001,0.0,0.5588235294117647,16.0
fe1b2a165b9e,13.0,6.0,4.038058,0.0600054,0.12339450550085283,0.33333327777778704,0.0,0.0,0.0,0.16666666666666663,6.0
fe1eab6eebce,7.0,1.0,0.49264,0.0,0.0,0.0,0.0,1.9999980000020001,0.0,1.0,1.0
