session_id,num_events,num_commands,session_duration,max_inter_command_time,mean_inter_command_time,std_inter_command_time,command_error_rate,file_transfer_ratio,login_error_rate,reconnaissance_ratio,exploit_ratio,unique_commands_ratio,command_diversity
927afc0238fa,9.0,1.0,181.245896,0.0,0.0,0.0,0.0,0.9999990000010001,0.0,0.22222219753086697,0.22222219753086697,0.5,2.0
92829a9cb3bd,41.0,19.0,13.352198,0.530324,0.4657648888888889,0.08911046739392291,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
929efde00d7e,59.0,28.0,63.252035,0.395295,0.03765992592592592,0.08595919409943925,0.07142856887755111,0.0,0.0,0.0,0.016949152255099114,0.3214285714285714,20.0
92a82025bc94,78.0,23.0,60.350226,13.072598,2.364840318181818,3.1787878280538293,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
92aa162c31f9,78.0,23.0,47.836209,8.292337,1.8817000909090909,1.8461189913364817,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
92b40db83256,31.0,20.0,1.745317,0.018161,0.007289736842105264,0.0032776475107427834,0.09999999500000024,0.0,0.0,0.0,0.032258063475546335,0.050000000000000044,20.0
92c1c6ecf73e,41.0,19.0,7.4554030000000004,0.308733,0.26133594444444447,0.06381228293755532,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
92f0eea363e3,41.0,19.0,21.396637,1.536988,0.8628413888888888,0.22822052616200714,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
93281961f9e7,41.0,19.0,33.565732,2.28683,1.3525778333333334,0.39882592671700323,0.0,0.0,0.0,0.048780486615110086,0.024390243307555043,0.5588235294117647,16.0
935adc104db2,78.0,23.0,29.124958,5.934788,1.0766157727272727,1.1020620866904323,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
936cfea8637e,78.0,23.0,5.73154,0.555887,0.1908193181818182,0.09490285477234897,0.08695651795841226,0.17391303591682453,0.0,0.02564102531229455,0.06410256328073637,0.5384615384615384,19.0
