session_id,num_events,num_commands,session_duration,max_inter_command_time,mean_inter_command_time,std_inter_command_time,command_error_rate,file_transfer_ratio,login_error_rate,reconnaissance_ratio,exploit_ratio,unique_commands_ratio,command_diversity,final_cluster,final_cluster_name
11536f408a2b,41.0,19.0,27.282132,1.246087,1.0742048888888889,0.1762322644689935,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
118866f8e02a,78.0,23.0,27.940682,5.630856,1.0318490000000002,1.043760982147596,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
11c38999069b,78.0,23.0,32.243482,7.021393,1.236468409090909,1.3449336402125556,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
11e626e13514,7.0,1.0,5.003739,0.0,0.0,0.0,0.0,0.0,0.0,0.4285713673469475,0.1428571224489825,1.0,1.0,L2_1,Other_Bot_Behaviour
12510f377474,41.0,19.0,16.653816,0.806237,0.6450518333333332,0.1085786521479462,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
1256958e6a2f,78.0,23.0,27.421938,5.609138,1.0113717727272726,1.0425194474454171,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
128e89480543,78.0,23.0,28.439367,5.767007,1.0512639090909093,1.070153095950068,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
12bc0518c064,78.0,23.0,5.801915,0.50125,0.1944546363636363,0.0877635515475668,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
12def45173d3,18.0,10.0,2.252313,0.228336,0.1266201111111111,0.1152831143852433,0.299999970000003,0.0,0.0,0.0,0.0555555524691359,0.1538461538461538,12.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
12df8807a160,41.0,19.0,29.380026,3.63078,1.0568719999999998,0.6569023851131112,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
12fefab197f3,78.0,23.0,29.631633,6.257687,1.098014409090909,1.1695163849831125,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
13168689e28e,42.0,19.0,78.276893,7.299272,2.235696055555556,1.4766168516975662,0.0,0.0,0.0,0.0476190464852608,0.0238095232426304,0.5588235294117647,16.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
131fc82bf53b,78.0,23.0,5.603459,0.560533,0.1871996363636363,0.0971299311979996,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1327afbbc629,78.0,23.0,36.60486,7.375056,1.3223833636363636,1.372227401545404,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
133b17b21ede,78.0,23.0,13.881377,2.828287,0.5012876363636363,0.5279916672819702,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
133e5be2496c,78.0,23.0,39.641272,10.565706,1.546667909090909,2.30343707783872,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
136129aef61a,78.0,23.0,31.151987,6.182233,1.1554899545454544,1.1457257849329967,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
13b711ec3bee,78.0,23.0,15.941502,2.958923,0.5788597727272727,0.5425413536771212,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
13cc080fa334,78.0,23.0,31.237188,8.122733,1.174602,1.566622180696874,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
13d0b9aa6904,41.0,19.0,31.357175,1.352695,1.222215611111111,0.1844399190988567,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
13deca692f96,79.0,23.0,38.077918,8.007727,1.3747667727272723,1.510564812249786,0.0869565179584122,0.2173912948960306,0.0,0.025316455375741,0.0759493661272232,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
142823d09d68,78.0,23.0,27.234035,6.338185,1.0111248181818182,1.202047198277673,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
142c80af68d9,16.0,6.0,2.721503,0.305744,0.1170497999999999,0.1528382172321438,0.4999999166666805,0.0,0.0,0.0,0.0624999960937502,0.375,6.0,G2_l1_2_3_l2_0,IoT_Mirai_Like_Bots
142ff59a1bfb,78.0,23.0,27.208578,6.393943,1.0169847727272727,1.2138882257398735,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
14948c398cf6,78.0,23.0,30.477996,6.6386,1.1202261818181818,1.2531068444657534,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
14fd5232d06a,78.0,23.0,29.797758,5.804243,1.1117021363636364,1.0778992534924363,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
151160fc8380,78.0,23.0,26.767086,5.356951,0.9803387727272724,0.9933425149566836,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
151d1fab6c10,41.0,19.0,28.836347,1.979885,1.128146833333333,0.3245959973292139,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
15385798f0e0,78.0,23.0,13.354147,2.276625,0.4829584090909091,0.4118328600936549,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
158945849fda,78.0,23.0,48.671821,11.374254,1.7536530909090913,2.232429979159607,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
15a6fd920112,78.0,23.0,28.643496,5.835399,1.058392818181818,1.0833126499509618,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
15e08c01c4e3,78.0,23.0,33.798333,6.93624,1.2543006363636364,1.2888290246393483,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1617a542c54e,8.0,1.0,1.911638,0.0,0.0,0.0,0.0,0.0,0.0,0.2499999687500039,0.1249999843750019,1.0,1.0,L2_1,Other_Bot_Behaviour
161fc5dba40d,78.0,23.0,27.622672,5.65439,1.0188314545454544,1.051288659027383,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1638720772e3,41.0,19.0,32.097072,1.384967,1.2630039999999998,0.1812441129305997,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
1676fed16823,78.0,23.0,30.41571,5.960033,1.1325236363636362,1.0996200696923653,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
16782ea8cf20,78.0,23.0,14.356396,2.564439,0.5176893636363636,0.4680150990167636,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
16ac1b05284d,79.0,23.0,28.842164,6.41241,1.0442758181818184,1.2172548804443484,0.0869565179584122,0.2173912948960306,0.0,0.025316455375741,0.0759493661272232,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
173400b88452,78.0,23.0,33.944484,10.943007,1.3034752727272727,2.164109117511763,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
176070479791,78.0,23.0,46.740546,10.9422,1.7555636363636362,2.1873135475523946,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
17b2eaee5a00,78.0,23.0,30.40668,6.313568,1.1238297727272726,1.176286556272502,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1859ece948bd,78.0,23.0,36.550782,7.969896,1.4019808181818183,1.5072732998636231,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
18b85b716485,78.0,23.0,37.98021,8.186803,1.4186034090909092,1.546166449413075,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
18db69f0a39b,77.0,23.0,37.532228,8.198476,1.3971026363636363,1.5389130939740907,0.0869565179584122,0.1304347769376184,0.0,0.0259740256367009,0.0519480512734019,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
18fa7c6f7b3f,41.0,19.0,12.550666,0.539837,0.4686290555555555,0.0870939887548619,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
1959202f6c93,41.0,19.0,5.164764,0.184933,0.1543261666666666,0.0347922785961449,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
1962ebe81507,78.0,23.0,11.902359,2.257166,0.4149054090909091,0.4190346928947483,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
19c61d1b285d,77.0,23.0,60.000267,12.537274,2.221217,2.3996675245356887,0.0869565179584122,0.1304347769376184,0.0,0.0259740256367009,0.0519480512734019,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1a0972326b51,78.0,23.0,14.947123,2.552789,0.5411444545454546,0.4632651499881011,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1a314f54a479,80.0,23.0,34.592331,7.162434,1.2872208181818183,1.3325415322700571,0.0869565179584122,0.2608695538752368,0.0,0.0249999996875,0.08749999890625,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1a554dd8fe64,78.0,23.0,30.86116,6.302347,1.1363641818181818,1.1713690880158605,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1a660d08fb16,78.0,23.0,35.044336,6.953597,1.2042785454545455,1.3013601987092007,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1a879377ed4a,78.0,23.0,29.833173,6.078036,1.104505454545455,1.1287211997047062,0.0869565179584122,0.1739130359168245,0.0,0.0256410253122945,0.0641025632807363,0.5384615384615384,19.0,G1_l1_0_1,Massive_Automated_Bots
1addb33fc12d,41.0,19.0,6.302844,0.252882,0.2122464444444444,0.0503322904075823,0.0,0.0,0.0,0.04878048661511,0.024390243307555,0.5588235294117647,16.0,G1_l1_0_1,Massive_Automated_Bots
